#queryIndex	queryItem	stringId	preferredName	annotation
84	O75161	9606.ENSP00000367398	NPHP4	Nephrocystin-4; Involved in the organization of apical junctions; the function is proposed to implicate a NPHP1-4-8 module. Does not seem to be strictly required for ciliogenesis. Required for building functional cilia. Involved in the organization of the subapical actin network in multiciliated epithelial cells. Seems to recruit INT to basal bodies of motile cilia which subsequently interacts with actin-modifying proteins such as DAAM1 (By similarity). In cooperation with INVS may downregulate the canonical Wnt pathway and promote the Wnt-PCP pathway by regulating expression and subce [...] 
85	O75368	9606.ENSP00000362308	SH3BGRL	SH3 domain-binding glutamic acid-rich-like protein; SH3 domain binding glutamate rich protein like.
86	O75390	9606.ENSP00000342056	CS	Citrate synthase, mitochondrial; Citrate synthase; Belongs to the citrate synthase family.
87	O75636	9606.ENSP00000270879	FCN3	Ficolin-3; May function in innate immunity through activation of the lectin complement pathway. Calcium-dependent and GlcNAc-binding lectin. Has affinity with GalNAc, GlcNAc, D-fucose, as mono/oligosaccharide and lipopolysaccharides from S.typhimurium and S.minnesota.
88	O75874	9606.ENSP00000390265	IDH1	Isocitrate dehydrogenase 1.
89	O76027	9606.ENSP00000357943	ANXA9	Annexin A9; Low affinity receptor for acetylcholine known to be targeted by disease-causing pemphigus vulgaris antibodies in keratinocytes. Belongs to the annexin family.
90	O95445	9606.ENSP00000365081	APOM	Apolipoprotein M; Probably involved in lipid transport. Can bind sphingosine-1- phosphate, myristic acid, palmitic acid and stearic acid, retinol, all- trans-retinoic acid and 9-cis-retinoic acid.
91	P00338	9606.ENSP00000445175	LDHA	Lactate dehydrogenase A; Belongs to the LDH/MDH superfamily. LDH family.
92	P00450	9606.ENSP00000264613	CP	Ceruloplasmin; Ceruloplasmin is a blue, copper-binding (6-7 atoms per molecule) glycoprotein. It has ferroxidase activity oxidizing Fe(2+) to Fe(3+) without releasing radical oxygen species. It is involved in iron transport across the cell membrane. Provides Cu(2+) ions for the ascorbate-mediated deaminase degradation of the heparan sulfate chains of GPC1. May also play a role in fetal lung development or pulmonary antioxidant defense (By similarity).
93	P00488	9606.ENSP00000264870	F13A1	Coagulation factor XIII A chain; Factor XIII is activated by thrombin and calcium ion to a transglutaminase that catalyzes the formation of gamma-glutamyl- epsilon-lysine cross-links between fibrin chains, thus stabilizing the fibrin clot. Also cross-link alpha-2-plasmin inhibitor, or fibronectin, to the alpha chains of fibrin.
94	P00505	9606.ENSP00000245206	GOT2	Aspartate aminotransferase, mitochondrial; Catalyzes the irreversible transamination of the L-tryptophan metabolite L-kynurenine to form kynurenic acid (KA). Plays a key role in amino acid metabolism. Important for metabolite exchange between mitochondria and cytosol. Facilitates cellular uptake of long-chain free fatty acids; Belongs to the class-I pyridoxal-phosphate-dependent aminotransferase family.
95	P00519	9606.ENSP00000361423	ABL1	Tyrosine-protein kinase ABL1; Non-receptor tyrosine-protein kinase that plays a role in many key processes linked to cell growth and survival such as cytoskeleton remodeling in response to extracellular stimuli, cell motility and adhesion, receptor endocytosis, autophagy, DNA damage response and apoptosis. Coordinates actin remodeling through tyrosine phosphorylation of proteins controlling cytoskeleton dynamics like WASF3 (involved in branch formation); ANXA1 (involved in membrane anchoring); DBN1, DBNL, CTTN, RAPH1 and ENAH (involved in signaling); or MAPT and PXN (microtubule-bindin [...] 
96	P00558	9606.ENSP00000362413	PGK1	Phosphoglycerate kinase 1; Catalyzes one of the two ATP producing reactions in the glycolytic pathway via the reversible conversion of 1,3- diphosphoglycerate to 3-phosphoglycerate. In addition to its role as a glycolytic enzyme, it seems that PGK-1 acts as a polymerase alpha cofactor protein (primer recognition protein). May play a role in sperm motility.
97	P00734	9606.ENSP00000308541	F2	Activation peptide fragment 1; Thrombin, which cleaves bonds after Arg and Lys, converts fibrinogen to fibrin and activates factors V, VII, VIII, XIII, and, in complex with thrombomodulin, protein C. Functions in blood homeostasis, inflammation and wound healing; Belongs to the peptidase S1 family.
98	P00736	9606.ENSP00000444271	C1R	Complement C1r subcomponent heavy chain; C1r B chain is a serine protease that combines with C1q and C1s to form C1, the first component of the classical pathway of the complement system; Belongs to the peptidase S1 family.
99	P00738	9606.ENSP00000348170	HP	Haptoglobin alpha chain; As a result of hemolysis, hemoglobin is found to accumulate in the kidney and is secreted in the urine. Haptoglobin captures, and combines with free plasma hemoglobin to allow hepatic recycling of heme iron and to prevent kidney damage. Haptoglobin also acts as an antioxidant, has antibacterial activity, and plays a role in modulating many aspects of the acute phase response. Hemoglobin/haptoglobin complexes are rapidly cleared by the macrophage CD163 scavenger receptor expressed on the surface of liver Kupfer cells through an endocytic lysosomal degradation pathway.
100	P00739	9606.ENSP00000441828	HPR	Haptoglobin-related protein; Primate-specific plasma protein associated with apolipoprotein L-I (apoL-I)-containing high-density lipoprotein (HDL). This HDL particle, termed trypanosome lytic factor-1 (TLF-1), mediates human innate immune protection against many species of African trypanosomes. Binds hemoglobin with high affinity and may contribute to the clearance of cell-free hemoglobin to allow hepatic recycling of heme iron.
101	P00740	9606.ENSP00000218099	F9	Coagulation factor IXa heavy chain; Factor IX is a vitamin K-dependent plasma protein that participates in the intrinsic pathway of blood coagulation by converting factor X to its active form in the presence of Ca(2+) ions, phospholipids, and factor VIIIa. Belongs to the peptidase S1 family.
102	P00742	9606.ENSP00000364709	F10	Activated factor Xa heavy chain; Factor Xa is a vitamin K-dependent glycoprotein that converts prothrombin to thrombin in the presence of factor Va, calcium and phospholipid during blood clotting.
103	P00746	9606.ENSP00000468253	CFD	Complement factor D; Factor D cleaves factor B when the latter is complexed with factor C3b, activating the C3bbb complex, which then becomes the C3 convertase of the alternate pathway. Its function is homologous to that of C1s in the classical pathway; Belongs to the peptidase S1 family.
104	P00748	9606.ENSP00000253496	F12	Coagulation factor XIIa heavy chain; Factor XII is a serum glycoprotein that participates in the initiation of blood coagulation, fibrinolysis, and the generation of bradykinin and angiotensin. Prekallikrein is cleaved by factor XII to form kallikrein, which then cleaves factor XII first to alpha-factor XIIa and then trypsin cleaves it to beta-factor XIIa. Alpha-factor XIIa activates factor XI to factor XIa.
105	P00751	9606.ENSP00000416561	CFB	Complement factor B Ba fragment; Factor B which is part of the alternate pathway of the complement system is cleaved by factor D into 2 fragments: Ba and Bb. Bb, a serine protease, then combines with complement factor 3b to generate the C3 or C5 convertase. It has also been implicated in proliferation and differentiation of preactivated B-lymphocytes, rapid spreading of peripheral blood monocytes, stimulation of lymphocyte blastogenesis and lysis of erythrocytes. Ba inhibits the proliferation of preactivated B-lymphocytes.
106	P01008	9606.ENSP00000356671	SERPINC1	Antithrombin-III; Most important serine protease inhibitor in plasma that regulates the blood coagulation cascade. AT-III inhibits thrombin, matriptase-3/TMPRSS7, as well as factors IXa, Xa and XIa. Its inhibitory activity is greatly enhanced in the presence of heparin.
107	P01011	9606.ENSP00000450540	SERPINA3	Alpha-1-antichymotrypsin His-Pro-less; Although its physiological function is unclear, it can inhibit neutrophil cathepsin G and mast cell chymase, both of which can convert angiotensin-1 to the active angiotensin-2.
108	P01019	9606.ENSP00000355627	AGT	Angiotensin 1-4; Essential component of the renin-angiotensin system (RAS), a potent regulator of blood pressure, body fluid and electrolyte homeostasis. [Angiotensin-3]: stimulates aldosterone release.
109	P01023	9606.ENSP00000323929	A2M	Alpha-2-macroglobulin; Is able to inhibit all four classes of proteinases by a unique 'trapping' mechanism. This protein has a peptide stretch, called the 'bait region' which contains specific cleavage sites for different proteinases. When a proteinase cleaves the bait region, a conformational change is induced in the protein which traps the proteinase. The entrapped enzyme remains active against low molecular weight substrates (activity against high molecular weight substrates is greatly reduced). Following cleavage in the bait region, a thioester bond is hydrolyzed and mediates the c [...] 
110	P01024	9606.ENSP00000245907	C3	Complement C3c alpha' chain fragment 1; C3 plays a central role in the activation of the complement system. Its processing by C3 convertase is the central reaction in both classical and alternative complement pathways. After activation C3b can bind covalently, via its reactive thioester, to cell surface carbohydrates or immune aggregates. [C3-beta-c]: Acts as a chemoattractant for neutrophils in chronic inflammation.
111	P01031	9606.ENSP00000223642	C5	Complement C5 alpha' chain; Activation of C5 by a C5 convertase initiates the spontaneous assembly of the late complement components, C5-C9, into the membrane attack complex. C5b has a transient binding site for C6. The C5b-C6 complex is the foundation upon which the lytic complex is assembled.
112	P01042	9606.ENSP00000493985	KNG1	Low molecular weight growth-promoting factor; (1) Kininogens are inhibitors of thiol proteases; (2) HMW- kininogen plays an important role in blood coagulation by helping to position optimally prekallikrein and factor XI next to factor XII; (3) HMW-kininogen inhibits the thrombin- and plasmin-induced aggregation of thrombocytes; (4) the active peptide bradykinin that is released from HMW-kininogen shows a variety of physiological effects: (4A) influence in smooth muscle contraction, (4B) induction of hypotension, (4C) natriuresis and diuresis, (4D) decrease in blood glucose level, (4E) [...] 
113	P01591	9606.ENSP00000440066	JCHAIN	Immunoglobulin J chain; Serves to link two monomer units of either IgM or IgA. In the case of IgM, the J chain-joined dimer is a nucleating unit for the IgM pentamer, and in the case of IgA it induces larger polymers. It also help to bind these immunoglobulins to secretory component.
114	P01593	9606.ENSP00000482678	IGKV1D-33	Immunoglobulin kappa variable 1D-33.
115	P01594	9606.ENSP00000479032	IGKV1-33	Immunoglobulin kappa variable 1-33; V region of the variable domain of immunoglobulin light chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, whic [...] 
121	P01614	9606.ENSP00000452747	IGKV2D-40	Immunoglobulin kappa variable 2-40; V region of the variable domain of immunoglobulin light chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, whic [...] 
122	P01615	9606.ENSP00000452662	IGKV2D-28	Immunoglobulin kappa variable 2-28; V region of the variable domain of immunoglobulin light chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, whic [...] 
134	P01762	9606.ENSP00000474135	IGHV3-11	Immunoglobulin heavy variable 3-11; V region of the variable domain of immunoglobulin heavy chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, whic [...] 
153	P01880	9606.ENSP00000478893	IGHD	Immunoglobulin heavy constant delta; Constant region of immunoglobulin heavy chains. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens. The antigen  [...] 
154	P02647	9606.ENSP00000236850	APOA1	Truncated apolipoprotein A-I; Participates in the reverse transport of cholesterol from tissues to the liver for excretion by promoting cholesterol efflux from tissues and by acting as a cofactor for the lecithin cholesterol acyltransferase (LCAT). As part of the SPAP complex, activates spermatozoa motility.
155	P02649	9606.ENSP00000252486	APOE	Apolipoprotein E; APOE is an apolipoprotein, a protein associating with lipid particles, that mainly functions in lipoprotein-mediated lipid transport between organs via the plasma and interstitial fluids. APOE is a core component of plasma lipoproteins and is involved in their production, conversion and clearance. Apoliproteins are amphipathic molecules that interact both with lipids of the lipoprotein particle core and the aqueous environment of the plasma. As such, APOE associates with chylomicrons, chylomicron remnants, very low density lipoproteins (VLDL) and intermediate density  [...] 
156	P02652	9606.ENSP00000356969	APOA2	Truncated apolipoprotein A-II; May stabilize HDL (high density lipoprotein) structure by its association with lipids, and affect the HDL metabolism; Belongs to the apolipoprotein A2 family.
157	P02655	9606.ENSP00000466775	APOC2	Proapolipoprotein C-II; Component of chylomicrons, very low-density lipoproteins (VLDL), low-density lipoproteins (LDL), and high-density lipoproteins (HDL) in plasma. Plays an important role in lipoprotein metabolism as an activator of lipoprotein lipase. Both proapolipoprotein C-II and apolipoprotein C-II can activate lipoprotein lipase. In normolipidemic individuals, it is mainly distributed in the HDL, whereas in hypertriglyceridemic individuals, predominantly found in the VLDL and LDL.
158	P02656	9606.ENSP00000227667	APOC3	Apolipoprotein C-III; Component of triglyceride-rich very low density lipoproteins (VLDL) and high density lipoproteins (HDL) in plasma. Plays a multifaceted role in triglyceride homeostasis. Intracellularly, promotes hepatic very low density lipoprotein 1 (VLDL1) assembly and secretion; extracellularly, attenuates hydrolysis and clearance of triglyceride- rich lipoproteins (TRLs). Impairs the lipolysis of TRLs by inhibiting lipoprotein lipase and the hepatic uptake of TRLs by remnant receptors. Formed of several curved helices connected via semiflexible hinges, so that it can wrap tig [...] 
159	P02671	9606.ENSP00000498441	FGA	Fibrinogen alpha chain; Cleaved by the protease thrombin to yield monomers which, together with fibrinogen beta (FGB) and fibrinogen gamma (FGG), polymerize to form an insoluble fibrin matrix. Fibrin has a major function in hemostasis as one of the primary components of blood clots. In addition, functions during the early stages of wound repair to stabilize the lesion and guide cell migration during re- epithelialization. Was originally thought to be essential for platelet aggregation, based on in vitro studies using anticoagulated blood. However, subsequent studies have shown that it  [...] 
160	P02675	9606.ENSP00000306099	FGB	Fibrinogen beta chain; Cleaved by the protease thrombin to yield monomers which, together with fibrinogen alpha (FGA) and fibrinogen gamma (FGG), polymerize to form an insoluble fibrin matrix. Fibrin has a major function in hemostasis as one of the primary components of blood clots. In addition, functions during the early stages of wound repair to stabilize the lesion and guide cell migration during re- epithelialization. Was originally thought to be essential for platelet aggregation, based on in vitro studies using anticoagulated blood. However subsequent studies have shown that it i [...] 
161	P02679	9606.ENSP00000336829	FGG	Fibrinogen gamma chain; Together with fibrinogen alpha (FGA) and fibrinogen beta (FGB), polymerizes to form an insoluble fibrin matrix. Has a major function in hemostasis as one of the primary components of blood clots. In addition, functions during the early stages of wound repair to stabilize the lesion and guide cell migration during re- epithelialization. Was originally thought to be essential for platelet aggregation, based on in vitro studies using anticoagulated blood. However, subsequent studies have shown that it is not absolutely required for thrombus formation in vivo. Enhan [...] 
162	P02741	9606.ENSP00000255030	CRP	C-reactive protein(1-205); Displays several functions associated with host defense: it promotes agglutination, bacterial capsular swelling, phagocytosis and complement fixation through its calcium-dependent binding to phosphorylcholine. Can interact with DNA and histones and may scavenge nuclear material released from damaged circulating cells.
163	P02743	9606.ENSP00000255040	APCS	Serum amyloid P-component(1-203); Can interact with DNA and histones and may scavenge nuclear material released from damaged circulating cells. May also function as a calcium-dependent lectin; Belongs to the pentraxin family.
164	P02745	9606.ENSP00000363773	C1QA	Complement C1q subcomponent subunit A; C1q associates with the proenzymes C1r and C1s to yield C1, the first component of the serum complement system. The collagen-like regions of C1q interact with the Ca(2+)-dependent C1r(2)C1s(2) proenzyme complex, and efficient activation of C1 takes place on interaction of the globular heads of C1q with the Fc regions of IgG or IgM antibody present in immune complexes.
165	P02746	9606.ENSP00000313967	C1QB	Complement C1q subcomponent subunit B; C1q associates with the proenzymes C1r and C1s to yield C1, the first component of the serum complement system. The collagen-like regions of C1q interact with the Ca(2+)-dependent C1r(2)C1s(2) proenzyme complex, and efficient activation of C1 takes place on interaction of the globular heads of C1q with the Fc regions of IgG or IgM antibody present in immune complexes.
166	P02747	9606.ENSP00000363770	C1QC	Complement C1q subcomponent subunit C; C1q associates with the proenzymes C1r and C1s to yield C1, the first component of the serum complement system. The collagen-like regions of C1q interact with the Ca(2+)-dependent C1r(2)C1s(2) proenzyme complex, and efficient activation of C1 takes place on interaction of the globular heads of C1q with the Fc regions of IgG or IgM antibody present in immune complexes.
167	P02748	9606.ENSP00000263408	C9	Complement component C9a; Constituent of the membrane attack complex (MAC) that plays a key role in the innate and adaptive immune response by forming pores in the plasma membrane of target cells. C9 is the pore-forming subunit of the MAC.
168	P02749	9606.ENSP00000205948	APOH	Beta-2-glycoprotein 1; Binds to various kinds of negatively charged substances such as heparin, phospholipids, and dextran sulfate. May prevent activation of the intrinsic blood coagulation cascade by binding to phospholipids on the surface of damaged cells.
169	P02750	9606.ENSP00000302621	LRG1	Leucine rich alpha-2-glycoprotein 1.
170	P02753	9606.ENSP00000360522	RBP4	Plasma retinol-binding protein(1-176); Retinol-binding protein that mediates retinol transport in blood plasma. Delivers retinol from the liver stores to the peripheral tissues (Probable). Transfers the bound all-trans retinol to STRA6, that then facilitates retinol transport across the cell membrane ; Belongs to the calycin superfamily. Lipocalin family.
171	P02760	9606.ENSP00000265132	AMBP	Inter-alpha-trypsin inhibitor light chain; Inter-alpha-trypsin inhibitor inhibits trypsin, plasmin, and lysosomal granulocytic elastase. Inhibits calcium oxalate crystallization; In the N-terminal section; belongs to the calycin superfamily. Lipocalin family.
172	P02763	9606.ENSP00000259396	ORM1	Alpha-1-acid glycoprotein 1; Functions as transport protein in the blood stream. Binds various ligands in the interior of its beta-barrel domain. Also binds synthetic drugs and influences their distribution and availability in the body. Appears to function in modulating the activity of the immune system during the acute-phase reaction; Belongs to the calycin superfamily. Lipocalin family.
173	P02765	9606.ENSP00000273784	AHSG	Alpha-2-HS-glycoprotein chain A; Promotes endocytosis, possesses opsonic properties and influences the mineral phase of bone. Shows affinity for calcium and barium ions; Belongs to the fetuin family.
174	P02766	9606.ENSP00000237014	TTR	Transthyretin; Thyroid hormone-binding protein. Probably transports thyroxine from the bloodstream to the brain.
